"GO.ID","Ontology","Term","result"
"GO:0042542","BP","response to hydrogen peroxide","0.0015"
"GO:0035196","BP","production of miRNAs involved in gene silencing by miRNA","0.0023"
"GO:0070887","BP","cellular response to chemical stimulus","0.0031"
"GO:0042753","BP","positive regulation of circadian rhythm","0.0032"
"GO:0048316","BP","seed development","0.0049"
"GO:0048544","BP","recognition of pollen","0.0072"
"GO:0006487","BP","protein N-linked glycosylation","0.008"
"GO:0010119","BP","regulation of stomatal movement","0.012"
"GO:0007129","BP","homologous chromosome pairing at meiosis","0.017"
"GO:0009863","BP","salicylic acid mediated signaling pathway","0.017"
"GO:0044242","BP","cellular lipid catabolic process","0.017"
"GO:0061687","BP","detoxification of inorganic compound","0.018"
"GO:0097501","BP","stress response to metal ion","0.018"
"GO:0071704","BP","organic substance metabolic process","0.021"
"GO:0042364","BP","water-soluble vitamin biosynthetic process","0.021"
"GO:0006486","BP","protein glycosylation","0.021"
"GO:0046855","BP","inositol phosphate dephosphorylation","0.023"
"GO:0046165","BP","alcohol biosynthetic process","0.023"
"GO:2000241","BP","regulation of reproductive process","0.023"
"GO:0009631","BP","cold acclimation","0.03"
"GO:0010223","BP","secondary shoot formation","0.03"
"GO:0010048","BP","vernalization response","0.035"
"GO:0030050","BP","vesicle transport along actin filament","0.035"
"GO:0071407","BP","cellular response to organic cyclic compound","0.038"
"GO:0071417","BP","cellular response to organonitrogen compound","0.039"
"GO:1900056","BP","negative regulation of leaf senescence","0.039"
"GO:0080060","BP","integument development","0.039"
"GO:0048528","BP","post-embryonic root development","0.04"
"GO:0006995","BP","cellular response to nitrogen starvation","0.047"
"GO:0098796","CC","membrane protein complex","0.0058"
"GO:0016607","CC","nuclear speck","0.013"
"GO:0030880","CC","RNA polymerase complex","0.019"
"GO:0005665","CC","RNA polymerase II, core complex","0.024"
"GO:0005516","MF","calmodulin binding","0.0015"
"GO:0043531","MF","ADP binding","0.014"
"GO:0000146","MF","microfilament motor activity","0.018"
"GO:0052658","MF","inositol-1,4,5-trisphosphate 5-phosphatase activity","0.018"
"GO:0060090","MF","molecular adaptor activity","0.022"
"GO:0070290","MF","N-acylphosphatidylethanolamine-specific phospholipase D activity","0.023"
"GO:0004630","MF","phospholipase D activity","0.023"
"GO:0000977","MF","RNA polymerase II transcription regulatory region sequence-specific DNA binding","0.035"
"GO:0102216","MF","maltodextrin water dikinase","0.04"
"GO:0102218","MF","starch, H2O dikinase activity","0.04"
"GO:0052659","MF","inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity","0.04"
"GO:0019900","MF","kinase binding","0.04"
"GO:0005198","MF","structural molecule activity","0.041"
"GO:0018024","MF","histone-lysine N-methyltransferase activity","0.047"
