"GO.ID","Ontology","Term","result"
"GO:0046486","BP","glycerolipid metabolic process","0.0017"
"GO:0048440","BP","carpel development","0.0032"
"GO:0000724","BP","double-strand break repair via homologous recombination","0.0093"
"GO:0010200","BP","response to chitin","0.014"
"GO:0048638","BP","regulation of developmental growth","0.014"
"GO:0009415","BP","response to water","0.022"
"GO:0055070","BP","copper ion homeostasis","0.023"
"GO:0006469","BP","negative regulation of protein kinase activity","0.023"
"GO:0052542","BP","defense response by callose deposition","0.024"
"GO:0006886","BP","intracellular protein transport","0.025"
"GO:0006714","BP","sesquiterpenoid metabolic process","0.027"
"GO:0007062","BP","sister chromatid cohesion","0.027"
"GO:0034308","BP","primary alcohol metabolic process","0.027"
"GO:0006629","BP","lipid metabolic process","0.03"
"GO:0010218","BP","response to far red light","0.034"
"GO:0009744","BP","response to sucrose","0.037"
"GO:0010332","BP","response to gamma radiation","0.049"
"GO:0005665","CC","RNA polymerase II, core complex","0.04"
"GO:0042170","CC","plastid membrane","0.046"
"GO:0004857","MF","enzyme inhibitor activity","0.0015"
"GO:0003682","MF","chromatin binding","0.0028"
"GO:0035091","MF","phosphatidylinositol binding","0.014"
"GO:0016538","MF","cyclin-dependent protein serine/threonine kinase regulator activity","0.016"
"GO:0004620","MF","phospholipase activity","0.018"
"GO:0003697","MF","single-stranded DNA binding","0.02"
"GO:0016773","MF","phosphotransferase activity, alcohol group as acceptor","0.036"
"GO:0016782","MF","transferase activity, transferring sulfur-containing groups","0.045"
