"GO.ID","Ontology","Term","result"
"GO:0055085","BP","transmembrane transport","0.0095"
"GO:0045927","BP","positive regulation of growth","0.013"
"GO:0009607","BP","response to biotic stimulus","0.017"
"GO:0048481","BP","plant ovule development","0.019"
"GO:0015706","BP","nitrate transport","0.021"
"GO:0006364","BP","rRNA processing","0.022"
"GO:0001558","BP","regulation of cell growth","0.031"
"GO:1903046","BP","meiotic cell cycle process","0.033"
"GO:0090305","BP","nucleic acid phosphodiester bond hydrolysis","0.035"
"GO:0006749","BP","glutathione metabolic process","0.035"
"GO:0032271","BP","regulation of protein polymerization","0.048"
"GO:0009524","CC","phragmoplast","0.019"
"GO:0005665","CC","RNA polymerase II, core complex","0.024"
"GO:0050661","MF","NADP binding","0.0099"
"GO:0015112","MF","nitrate transmembrane transporter activity","0.024"
"GO:0016709","MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","0.026"
"GO:0004519","MF","endonuclease activity","0.04"
"GO:0050660","MF","flavin adenine dinucleotide binding","0.046"
"GO:0003899","MF","DNA-directed 5'-3' RNA polymerase activity","0.048"
"GO:0005516","MF","calmodulin binding","0.048"
