"GO.ID","Ontology","Term","result"
"GO:0002239","BP","response to oomycetes","0.0091"
"GO:0030050","BP","vesicle transport along actin filament","0.013"
"GO:0002229","BP","defense response to oomycetes","0.02"
"GO:0010200","BP","response to chitin","0.035"
"GO:0010090","BP","trichome morphogenesis","0.044"
"GO:1901264","BP","carbohydrate derivative transport","0.047"
"GO:0031267","MF","small GTPase binding","0.0066"
"GO:0008171","MF","O-methyltransferase activity","0.0066"
"GO:0070615","MF","nucleosome-dependent ATPase activity","0.034"
"GO:0097367","MF","carbohydrate derivative binding","0.038"
