"GO.ID","Ontology","Term","result"
"GO:0048653","BP","anther development","0.0089"
"GO:0009651","BP","response to salt stress","0.012"
"GO:0051592","BP","response to calcium ion","0.034"
"GO:0051085","BP","chaperone cofactor-dependent protein refolding","0.034"
"GO:2000060","BP","positive regulation of ubiquitin-dependent protein catabolic process","0.034"
"GO:0010962","BP","regulation of glucan biosynthetic process","0.038"
"GO:0031048","BP","heterochromatin assembly by small RNA","0.038"
"GO:0071333","BP","cellular response to glucose stimulus","0.038"
"GO:0046246","BP","terpene biosynthetic process","0.041"
"GO:0010065","BP","primary meristem tissue development","0.041"
"GO:2000904","BP","regulation of starch metabolic process","0.044"
"GO:0006446","BP","regulation of translational initiation","0.048"
"GO:0006814","BP","sodium ion transport","0.048"
"GO:0030880","CC","RNA polymerase complex","0.0064"
"GO:0030312","CC","external encapsulating structure","0.023"
"GO:0005576","CC","extracellular region","0.028"
"GO:0042575","CC","DNA polymerase complex","0.032"
"GO:0051082","MF","unfolded protein binding","0.021"
"GO:0044390","MF","ubiquitin-like protein conjugating enzyme binding","0.034"
"GO:0008289","MF","lipid binding","0.034"
"GO:0047631","MF","ADP-ribose diphosphatase activity","0.038"
"GO:0035242","MF","protein-arginine omega-N asymmetric methyltransferase activity","0.038"
"GO:0050145","MF","nucleoside monophosphate kinase activity","0.041"
"GO:0000210","MF","NAD+ diphosphatase activity","0.041"
"GO:0016004","MF","phospholipase activator activity","0.044"
"GO:0005384","MF","manganese ion transmembrane transporter activity","0.044"
