"GO.ID","Ontology","Term","result"
"GO:0009789","BP","positive regulation of abscisic acid-activated signaling pathway","0.001"
"GO:0045010","BP","actin nucleation","0.01"
"GO:0043622","BP","cortical microtubule organization","0.012"
"GO:0009860","BP","pollen tube growth","0.018"
"GO:0048510","BP","regulation of timing of transition from vegetative to reproductive phase","0.024"
"GO:0051179","BP","localization","0.024"
"GO:0090558","BP","plant epidermis development","0.024"
"GO:0006468","BP","protein phosphorylation","0.026"
"GO:0006006","BP","glucose metabolic process","0.035"
"GO:0071230","BP","cellular response to amino acid stimulus","0.04"
"GO:0030865","BP","cortical cytoskeleton organization","0.047"
"GO:0042592","BP","homeostatic process","0.048"
"GO:0052546","BP","cell wall pectin metabolic process","0.048"
"GO:0055028","CC","cortical microtubule","0.014"
"GO:0031209","CC","SCAR complex","0.018"
"GO:0030662","CC","coated vesicle membrane","0.023"
"GO:0012505","CC","endomembrane system","0.039"
"GO:0032993","CC","protein-DNA complex","0.043"
"GO:0008889","MF","glycerophosphodiester phosphodiesterase activity","0.014"
"GO:0003697","MF","single-stranded DNA binding","0.016"
"GO:0004674","MF","protein serine/threonine kinase activity","0.023"
"GO:0008066","MF","glutamate receptor activity","0.029"
"GO:0005262","MF","calcium channel activity","0.029"
"GO:0016759","MF","cellulose synthase activity","0.035"
"GO:0015932","MF","nucleobase-containing compound transmembrane transporter activity","0.042"
"GO:0005217","MF","intracellular ligand-gated ion channel activity","0.042"
