"GO.ID","Ontology","Term","result"
"GO:0046486","BP","glycerolipid metabolic process","0.0023"
"GO:0048440","BP","carpel development","0.004"
"GO:0010048","BP","vernalization response","0.0079"
"GO:0010218","BP","response to far red light","0.0095"
"GO:0009744","BP","response to sucrose","0.011"
"GO:0006979","BP","response to oxidative stress","0.015"
"GO:0000041","BP","transition metal ion transport","0.015"
"GO:0048638","BP","regulation of developmental growth","0.02"
"GO:0000724","BP","double-strand break repair via homologous recombination","0.02"
"GO:0001666","BP","response to hypoxia","0.023"
"GO:0052542","BP","defense response by callose deposition","0.028"
"GO:0006163","BP","purine nucleotide metabolic process","0.028"
"GO:0006629","BP","lipid metabolic process","0.029"
"GO:0055070","BP","copper ion homeostasis","0.031"
"GO:0006469","BP","negative regulation of protein kinase activity","0.031"
"GO:0048510","BP","regulation of timing of transition from vegetative to reproductive phase","0.032"
"GO:0046916","BP","cellular transition metal ion homeostasis","0.032"
"GO:0006468","BP","protein phosphorylation","0.036"
"GO:0034308","BP","primary alcohol metabolic process","0.037"
"GO:0006714","BP","sesquiterpenoid metabolic process","0.037"
"GO:0009651","BP","response to salt stress","0.039"
"GO:0010017","BP","red or far-red light signaling pathway","0.043"
"GO:0007062","BP","sister chromatid cohesion","0.044"
"GO:0055072","BP","iron ion homeostasis","0.044"
"GO:0016604","CC","nuclear body","0.0093"
"GO:0004857","MF","enzyme inhibitor activity","0.00039"
"GO:0004620","MF","phospholipase activity","0.027"
"GO:0000981","MF","DNA-binding transcription factor activity, RNA polymerase II-specific","0.037"
