"GO.ID","Ontology","Term","result"
"GO:0009744","BP","response to sucrose","0.012"
"GO:0034059","BP","response to anoxia","0.021"
"GO:0015914","BP","phospholipid transport","0.021"
"GO:0080119","BP","ER body organization","0.024"
"GO:0046208","BP","spermine catabolic process","0.026"
"GO:0006021","BP","inositol biosynthetic process","0.028"
"GO:0036294","BP","cellular response to decreased oxygen levels","0.03"
"GO:0009097","BP","isoleucine biosynthetic process","0.032"
"GO:0034308","BP","primary alcohol metabolic process","0.034"
"GO:0019253","BP","reductive pentose-phosphate cycle","0.034"
"GO:0009098","BP","leucine biosynthetic process","0.034"
"GO:0006573","BP","valine metabolic process","0.034"
"GO:0010082","BP","regulation of root meristem growth","0.036"
"GO:0009750","BP","response to fructose","0.038"
"GO:0051260","BP","protein homooligomerization","0.04"
"GO:1905156","BP","negative regulation of photosynthesis","0.043"
"GO:0045926","BP","negative regulation of growth","0.043"
"GO:0080027","BP","response to herbivore","0.045"
"GO:0010168","CC","ER body","0.02"
"GO:0009705","CC","plant-type vacuole membrane","0.023"
"GO:0016651","MF","oxidoreductase activity, acting on NAD(P)H","0.012"
"GO:0004506","MF","squalene monooxygenase activity","0.023"
"GO:0016884","MF","carbon-nitrogen ligase activity, with glutamine as amido-N-donor","0.025"
"GO:0016151","MF","nickel cation binding","0.03"
"GO:0016872","MF","intramolecular lyase activity","0.046"
"GO:0004565","MF","beta-galactosidase activity","0.046"
