"GO.ID","Ontology","Term","result"
"GO:0009718","BP","anthocyanin-containing compound biosynthetic process","2.3e-05"
"GO:0010200","BP","response to chitin","0.00022"
"GO:0009611","BP","response to wounding","0.00097"
"GO:0080167","BP","response to karrikin","0.001"
"GO:0044550","BP","secondary metabolite biosynthetic process","0.0011"
"GO:0005975","BP","carbohydrate metabolic process","0.0042"
"GO:0071241","BP","cellular response to inorganic substance","0.0062"
"GO:0009267","BP","cellular response to starvation","0.0063"
"GO:0031537","BP","regulation of anthocyanin metabolic process","0.0074"
"GO:0009687","BP","abscisic acid metabolic process","0.0083"
"GO:0061157","BP","mRNA destabilization","0.0083"
"GO:0009624","BP","response to nematode","0.011"
"GO:1901264","BP","carbohydrate derivative transport","0.011"
"GO:0009617","BP","response to bacterium","0.013"
"GO:0009694","BP","jasmonic acid metabolic process","0.014"
"GO:0009056","BP","catabolic process","0.014"
"GO:0006873","BP","cellular ion homeostasis","0.015"
"GO:0009962","BP","regulation of flavonoid biosynthetic process","0.017"
"GO:0010167","BP","response to nitrate","0.017"
"GO:0055081","BP","anion homeostasis","0.02"
"GO:0042343","BP","indole glucosinolate metabolic process","0.024"
"GO:0006950","BP","response to stress","0.028"
"GO:0046164","BP","alcohol catabolic process","0.029"
"GO:0009735","BP","response to cytokinin","0.033"
"GO:0002239","BP","response to oomycetes","0.034"
"GO:0009753","BP","response to jasmonic acid","0.039"
"GO:0048878","BP","chemical homeostasis","0.043"
"GO:0035196","BP","production of miRNAs involved in gene silencing by miRNA","0.044"
"GO:0009690","BP","cytokinin metabolic process","0.044"
"GO:0010380","BP","regulation of chlorophyll biosynthetic process","0.044"
"GO:0072329","BP","monocarboxylic acid catabolic process","0.048"
"GO:0019761","BP","glucosinolate biosynthetic process","0.05"
"GO:0005576","CC","extracellular region","0.0043"
"GO:0071949","MF","FAD binding","0.0026"
"GO:0015298","MF","solute:cation antiporter activity","0.005"
"GO:1901505","MF","carbohydrate derivative transmembrane transporter activity","0.0067"
"GO:0005506","MF","iron ion binding","0.014"
"GO:0016701","MF","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen","0.015"
"GO:0016782","MF","transferase activity, transferring sulfur-containing groups","0.022"
"GO:0008289","MF","lipid binding","0.023"
"GO:0052689","MF","carboxylic ester hydrolase activity","0.026"
"GO:0042626","MF","ATPase-coupled transmembrane transporter activity","0.039"
"GO:0015932","MF","nucleobase-containing compound transmembrane transporter activity","0.04"
"GO:0016702","MF","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","0.042"
