"GO.ID","Ontology","Term","result"
"GO:0044209","BP","AMP salvage","0.002"
"GO:0044242","BP","cellular lipid catabolic process","0.0035"
"GO:0042435","BP","indole-containing compound biosynthetic process","0.0048"
"GO:0007017","BP","microtubule-based process","0.0078"
"GO:0016226","BP","iron-sulfur cluster assembly","0.0088"
"GO:0009606","BP","tropism","0.01"
"GO:0010118","BP","stomatal movement","0.011"
"GO:0010162","BP","seed dormancy process","0.013"
"GO:0009753","BP","response to jasmonic acid","0.014"
"GO:0009058","BP","biosynthetic process","0.015"
"GO:1901700","BP","response to oxygen-containing compound","0.017"
"GO:0030833","BP","regulation of actin filament polymerization","0.018"
"GO:0019344","BP","cysteine biosynthetic process","0.018"
"GO:0071702","BP","organic substance transport","0.019"
"GO:0030042","BP","actin filament depolymerization","0.019"
"GO:0070646","BP","protein modification by small protein removal","0.02"
"GO:0006006","BP","glucose metabolic process","0.028"
"GO:0006487","BP","protein N-linked glycosylation","0.028"
"GO:0009637","BP","response to blue light","0.028"
"GO:0006536","BP","glutamate metabolic process","0.033"
"GO:0006875","BP","cellular metal ion homeostasis","0.037"
"GO:0009611","BP","response to wounding","0.038"
"GO:0017148","BP","negative regulation of translation","0.038"
"GO:0046470","BP","phosphatidylcholine metabolic process","0.038"
"GO:0009767","BP","photosynthetic electron transport chain","0.038"
"GO:0048523","BP","negative regulation of cellular process","0.038"
"GO:0015711","BP","organic anion transport","0.038"
"GO:0046686","BP","response to cadmium ion","0.039"
"GO:0009648","BP","photoperiodism","0.041"
"GO:1902904","BP","negative regulation of supramolecular fiber organization","0.042"
"GO:0006879","BP","cellular iron ion homeostasis","0.042"
"GO:0051494","BP","negative regulation of cytoskeleton organization","0.042"
"GO:0009687","BP","abscisic acid metabolic process","0.042"
"GO:0010114","BP","response to red light","0.043"
"GO:0006098","BP","pentose-phosphate shunt","0.044"
"GO:0045454","BP","cell redox homeostasis","0.044"
"GO:0002213","BP","defense response to insect","0.044"
"GO:0005774","CC","vacuolar membrane","0.00043"
"GO:0005753","CC","mitochondrial proton-transporting ATP synthase complex","0.0011"
"GO:0009570","CC","chloroplast stroma","0.0016"
"GO:0005759","CC","mitochondrial matrix","0.0048"
"GO:0005829","CC","cytosol","0.0067"
"GO:0022626","CC","cytosolic ribosome","0.008"
"GO:0005773","CC","vacuole","0.016"
"GO:0048046","CC","apoplast","0.018"
"GO:0033176","CC","proton-transporting V-type ATPase complex","0.018"
"GO:0009941","CC","chloroplast envelope","0.019"
"GO:0005886","CC","plasma membrane","0.021"
"GO:0010319","CC","stromule","0.029"
"GO:0009507","CC","chloroplast","0.041"
"GO:0051286","CC","cell tip","0.043"
"GO:0098800","CC","inner mitochondrial membrane protein complex","0.044"
"GO:0004601","MF","peroxidase activity","0.0062"
"GO:0003712","MF","transcription coregulator activity","0.0067"
"GO:0030170","MF","pyridoxal phosphate binding","0.0088"
"GO:0004124","MF","cysteine synthase activity","0.014"
"GO:0008308","MF","voltage-gated anion channel activity","0.015"
"GO:0042910","MF","xenobiotic transmembrane transporter activity","0.019"
"GO:0016776","MF","phosphotransferase activity, phosphate group as acceptor","0.021"
"GO:0004332","MF","fructose-bisphosphate aldolase activity","0.022"
"GO:0016651","MF","oxidoreductase activity, acting on NAD(P)H","0.028"
"GO:0016709","MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","0.029"
"GO:0019206","MF","nucleoside kinase activity","0.031"
"GO:0016705","MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","0.033"
"GO:0015079","MF","potassium ion transmembrane transporter activity","0.041"
"GO:0016702","MF","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","0.042"
"GO:0010181","MF","FMN binding","0.042"
"GO:0051117","MF","ATPase binding","0.042"
