"GO.ID","Ontology","Term","result"
"GO:0009863","BP","salicylic acid mediated signaling pathway","0.00062"
"GO:0048544","BP","recognition of pollen","0.0027"
"GO:0048316","BP","seed development","0.0048"
"GO:1900056","BP","negative regulation of leaf senescence","0.0052"
"GO:0005982","BP","starch metabolic process","0.0061"
"GO:0009864","BP","induced systemic resistance, jasmonic acid mediated signaling pathway","0.0061"
"GO:0010119","BP","regulation of stomatal movement","0.0079"
"GO:0042542","BP","response to hydrogen peroxide","0.0091"
"GO:0006486","BP","protein glycosylation","0.01"
"GO:0009627","BP","systemic acquired resistance","0.01"
"GO:0009567","BP","double fertilization forming a zygote and endosperm","0.011"
"GO:2000241","BP","regulation of reproductive process","0.011"
"GO:0010048","BP","vernalization response","0.014"
"GO:0010033","BP","response to organic substance","0.016"
"GO:0048598","BP","embryonic morphogenesis","0.017"
"GO:0035196","BP","production of miRNAs involved in gene silencing by miRNA","0.023"
"GO:0042364","BP","water-soluble vitamin biosynthetic process","0.023"
"GO:0010075","BP","regulation of meristem growth","0.024"
"GO:0048437","BP","floral organ development","0.027"
"GO:0042753","BP","positive regulation of circadian rhythm","0.027"
"GO:0070417","BP","cellular response to cold","0.027"
"GO:0051170","BP","import into nucleus","0.029"
"GO:1905392","BP","plant organ morphogenesis","0.029"
"GO:0046903","BP","secretion","0.029"
"GO:0006487","BP","protein N-linked glycosylation","0.03"
"GO:0044270","BP","cellular nitrogen compound catabolic process","0.031"
"GO:0002229","BP","defense response to oomycetes","0.031"
"GO:0009631","BP","cold acclimation","0.031"
"GO:0006631","BP","fatty acid metabolic process","0.032"
"GO:0031327","BP","negative regulation of cellular biosynthetic process","0.032"
"GO:0009943","BP","adaxial/abaxial axis specification","0.033"
"GO:0071704","BP","organic substance metabolic process","0.034"
"GO:0006470","BP","protein dephosphorylation","0.035"
"GO:0071407","BP","cellular response to organic cyclic compound","0.037"
"GO:0009605","BP","response to external stimulus","0.037"
"GO:0071417","BP","cellular response to organonitrogen compound","0.038"
"GO:0019751","BP","polyol metabolic process","0.038"
"GO:0019941","BP","modification-dependent protein catabolic process","0.038"
"GO:0042886","BP","amide transport","0.038"
"GO:0010363","BP","regulation of plant-type hypersensitive response","0.04"
"GO:0010208","BP","pollen wall assembly","0.04"
"GO:0006298","BP","mismatch repair","0.04"
"GO:0048481","BP","plant ovule development","0.04"
"GO:0048878","BP","chemical homeostasis","0.041"
"GO:0010073","BP","meristem maintenance","0.041"
"GO:0022412","BP","cellular process involved in reproduction in multicellular organism","0.041"
"GO:0006491","BP","N-glycan processing","0.042"
"GO:0045324","BP","late endosome to vacuole transport","0.042"
"GO:0046165","BP","alcohol biosynthetic process","0.042"
"GO:0000228","CC","nuclear chromosome","0.014"
"GO:0016607","CC","nuclear speck","0.023"
"GO:0005798","CC","Golgi-associated vesicle","0.027"
"GO:0030880","CC","RNA polymerase complex","0.029"
"GO:1990204","CC","oxidoreductase complex","0.03"
"GO:0031201","CC","SNARE complex","0.03"
"GO:0000326","CC","protein storage vacuole","0.04"
"GO:0005665","CC","RNA polymerase II, core complex","0.04"
"GO:0005516","MF","calmodulin binding","3.3e-05"
"GO:0000146","MF","microfilament motor activity","0.0028"
"GO:0000977","MF","RNA polymerase II transcription regulatory region sequence-specific DNA binding","0.0091"
"GO:0008168","MF","methyltransferase activity","0.019"
"GO:0008289","MF","lipid binding","0.022"
"GO:0016667","MF","oxidoreductase activity, acting on a sulfur group of donors","0.029"
"GO:0005198","MF","structural molecule activity","0.032"
"GO:0140098","MF","catalytic activity, acting on RNA","0.033"
"GO:0008233","MF","peptidase activity","0.038"
"GO:0004713","MF","protein tyrosine kinase activity","0.038"
"GO:0019829","MF","ATPase-coupled cation transmembrane transporter activity","0.038"
"GO:0004683","MF","calmodulin-dependent protein kinase activity","0.041"
