"","Brassica rapa","Brassica cretica","Brassica incana","Brassica macrocarpa","Brassica montana","Brassica villosa"
"1",20,4,3,148,7,6
"2",64,2,4,148,7,4
"3",4,2,2,148,5,0
"4",16,2,3,148,5,0
"5",20,1,1,148,5,4
"6",1610,1,2,148,5,4
"7",12,1,3,148,5,1
"8",51,0,12,148,5,0
"9",4,1,3,148,7,3
"10",182,1,7,148,7,2
"11",1432,1,0,148,5,3
"12",16,2,3,148,7,1
"13",2,2,4,148,4,205
"14",11,2,3,148,5,4
"15",2,1,3,148,7,1
"16",8,0,35,148,7,0
"17",20,1,3,148,4,4
"18",2,4,3,148,7,3
"19",39,2,35,148,5,3
"20",4,2,38,148,5,3
