AT1G11880	GO:0000009
LOS2	GO:0000015
APTG1	GO:0000026
RDP	GO:0000027
SMO4	GO:0000027
ALG3	GO:0000030
ATG12A	GO:0000045
APG12B	GO:0000045
ATG13	GO:0000045
AT1G76170	GO:0000049
AT2G18720	GO:0000049
CTEXP	GO:0000049
AT3G58140	GO:0000049
AT4G10320	GO:0000049
CTU2	GO:0000049
AT4G39280	GO:0000049
OVA2	GO:0000049
ERS	GO:0000049
ARGAH2	GO:0000050
ARGAH1	GO:0000050
ACBP2	GO:0000062
ACBP5	GO:0000062
RAD9	GO:0000077
AT4G17760	GO:0000077
CYCP4;1	GO:0000079
cycp3;1	GO:0000079
CYCP2;1	GO:0000079
CYCP3;2	GO:0000079
CYCP1;1	GO:0000079
AT4G36390	GO:0000079
C53	GO:0000079
CYCP4;3	GO:0000079
CYCP4;2	GO:0000079
APK3	GO:0000103
APS3	GO:0000103
APK4	GO:0000103
ATP-PRT2	GO:0000105
AT-IE	GO:0000105
ATP-PRT1	GO:0000105
HISN6B	GO:0000105
APG10	GO:0000105
IGPD	GO:0000105
HISN5B	GO:0000105
AT-HF	GO:0000105
HPA1	GO:0000105
HDH	GO:0000105
GPP1	GO:0000121
GS1	GO:0000121
AT1G05860	GO:0000123
AT2G31600	GO:0000123
AT4G14385	GO:0000123
TAFII59	GO:0000124
EER4	GO:0000124
TAF6B	GO:0000124
TAF12	GO:0000124
ENY2	GO:0000124
SGF29a	GO:0000124
SGF29b	GO:0000124
BRF2	GO:0000126
AT1G17450	GO:0000127
AT3G49400	GO:0000127
AT3G49410	GO:0000127
AT5G24450	GO:0000127
GC6	GO:0000139
EXO70A1	GO:0000145
EXO84B	GO:0000145
EXO70H7	GO:0000145
CALS1	GO:0000148
CalS7	GO:0000148
CALS5	GO:0000148
GSL03	GO:0000148
GSL8	GO:0000148
GSL10	GO:0000148
GSL04	GO:0000148
GSL11	GO:0000148
GSL05	GO:0000148
GSL1	GO:0000148
GSL12	GO:0000148
GSL09	GO:0000148
DMC1	GO:0000150
RAD51	GO:0000150
RKP	GO:0000151
BRIZ1	GO:0000151
MUSE3	GO:0000151
AT1G03502	GO:0000154
AT1G03506	GO:0000154
AT1G03743	GO:0000154
AT1G03746	GO:0000154
AT1G03935	GO:0000154
AT1G07702	GO:0000154
SNOR111	GO:0000154
AT1G12015	GO:0000154
AT1G19373	GO:0000154
AT1G19376	GO:0000154
AT1G20015	GO:0000154
SNOR95	GO:0000154
AT1G32385	GO:0000154
AT1G74453	GO:0000154
AT1G74456	GO:0000154
AT1G75163	GO:0000154
AT1G75166	GO:0000154
AT2G05765	GO:0000154
AT2G17295	GO:0000154
AT2G20721	GO:0000154
AT2G20722	GO:0000154
AT2G20723	GO:0000154
AT2G35382	GO:0000154
AT2G35384	GO:0000154
AT2G35387	GO:0000154
AT2G35742	GO:0000154
AT2G35744	GO:0000154
HID1	GO:0000154
AT2G43137	GO:0000154
AT2G43138	GO:0000154
AT2G43139	GO:0000154
AT2G43141	GO:0000154
AT3G01313	GO:0000154
AT3G01316	GO:0000154
AT3G13525	GO:0000154
AT3G14475	GO:0000154
AT3G21805	GO:0000154
AT3G24612	GO:0000154
AT3G27865	GO:0000154
AT3G47342	GO:0000154
AT3G47347	GO:0000154
AT3G47348	GO:0000154
AT3G50825	GO:0000154
AT3G58193	GO:0000154
AT3G58196	GO:0000154
AT4G02555	GO:0000154
AT4G03295	GO:0000154
AT4G13245	GO:0000154
AT4G26365	GO:0000154
AT4G39361	GO:0000154
AT4G39363	GO:0000154
AT4G39364	GO:0000154
AT4G39366	GO:0000154
SNOR77	GO:0000154
AT5G13225	GO:0000154
AT5G44286	GO:0000154
U3B	GO:0000154
U3D	GO:0000154
AT5G58595	GO:0000154
AT5G66562	GO:0000154
AT5G66564	GO:0000154
AT5G66567	GO:0000154
ERS2	GO:0000155
PHYA	GO:0000155
HK3	GO:0000155
ETR1	GO:0000155
WOL	GO:0000155
HK1	GO:0000155
PHYB	GO:0000155
ERS1	GO:0000155
CKI1	GO:0000155
EIN4	GO:0000155
ETR2	GO:0000155
PHYD	GO:0000155
PHYE	GO:0000155
HK2	GO:0000155
ARR4	GO:0000156
ARR7	GO:0000156
RR19	GO:0000156
ARR3	GO:0000156
ARR11	GO:0000156
APRR6	GO:0000156
ARR15	GO:0000156
RR14	GO:0000156
RR12	GO:0000156
RR13	GO:0000156
RR16	GO:0000156
RR3	GO:0000156
PRR9	GO:0000156
RR22	GO:0000156
RR1	GO:0000156
RR5	GO:0000156
RR17	GO:0000156
ARR9	GO:0000156
RR20	GO:0000156
APRR8	GO:0000156
RR2	GO:0000156
APRR2	GO:0000156
RR10	GO:0000156
PRR7	GO:0000156
RR21	GO:0000156
PRR5	GO:0000156
APRR4	GO:0000156
RR18	GO:0000156
PRR3	GO:0000156
TOC1	GO:0000156
RR23	GO:0000156
ARR6	GO:0000156
AT1G13460	GO:0000159
AT1G48870	GO:0000159
ATB' BETA	GO:0000159
AT3G21650	GO:0000159
PP2AB'ETA	GO:0000159
ATB' DELTA	GO:0000159
AT3G54930	GO:0000159
ATB' GAMMA	GO:0000159
AT5G25510	GO:0000159
AHP5	GO:0000160
ARR4	GO:0000160
HK3	GO:0000160
ARR3	GO:0000160
ARR11	GO:0000160
HP6	GO:0000160
RR14	GO:0000160
WOL	GO:0000160
AT2G07440	GO:0000160
RR16	GO:0000160
PRR9	GO:0000160
CKI1	GO:0000160
AT3G04270	GO:0000160
RR17	GO:0000160
PRR7	GO:0000160
HK2	GO:0000160
AHP3	GO:0000160
PRR3	GO:0000160
