"NM_099983.2" "NAC001"
"NM_001331242.1" "ARV1"
"NM_001331241.1" "ARV1"
"NM_001331239.1" "ARV1"
"NM_001331240.1" "ARV1"
"NM_001331243.1" "ARV1"
"NM_001035846.2" "ARV1"
"NM_001331244.1" "NGA3"
"NM_099985.3" "NGA3"
"NM_099986.4" "DCL1"
"NM_001197952.1" "DCL1"
"NR_138613.1" "MIR838"
"gnl|WGS:|mrna.AT1G01046-RA" "MIR838"
"NM_099987.4" "PPa1"
"NM_001331245.1" "PPa1"
"NM_001331246.1" "LHY"
"NM_001035847.1" "LHY"
"NM_001331247.1" "LHY"
"NM_099988.4" "LHY"
"NM_001083968.1" "LHY"
"NM_179237.1" "LHY"
"NM_001197953.1" "LHY"
"NM_001331248.1" "LHY"
"NM_099989.3" "UMAMIT28"
"NM_202005.3" "UMAMIT28"
"NM_099991.4" "PDH-E1 ALPHA"
"NM_001123732.2" "IQD18"
"NM_001331250.1" "IQD18"
"NM_099994.4" "KCS1"
"NM_099996.4" "CIPK9"
"NM_179240.1" "CIPK9"
"NM_179239.1" "CIPK9"
"NM_099998.4" "GIF2"
"NM_001160826.1" "GIF2"
"NR_138614.1" "MIR165a"
"gnl|WGS:|mrna.AT1G01183-RA" "MIR165a"
"gnl|WGS:|mrna.AT1G01183-RB" "MIR165a"
"NM_001331253.1" "CYP78A8"
"NM_100001.2" "CYP78A8"
"NM_100002.4" "RABA3"
"NM_001331256.1" "FKGP"
"NM_001331257.1" "FKGP"
"NM_001331258.1" "FKGP"
"NM_100004.4" "FKGP"
"NM_001331259.1" "FKGP"
"NM_001331260.1" "FKGP"
"NM_001331261.1" "FKGP"
"NM_001331262.1" "FKGP"
"NM_100010.3" "CYP703A2"
"NM_100011.4" "CNX3"
"NM_001160827.2" "CNX3"
"NM_001197956.2" "CNGC10"
"NM_100016.3" "CNGC10"
"NM_100018.5" "RCAR1"
"NM_001331269.1" "HTR12"
"NM_001035850.3" "HTR12"
"NM_100019.2" "HTR12"
"NM_001331270.1" "HTR12"
"NM_001331271.1" "ETC1"
"NM_100020.4" "ETC1"
"NM_001331272.1" "ETC1"
"NM_100023.1" "PUM22"
"NM_001331274.1" "UGT72B3"
"NM_100024.2" "UGT72B3"
"NM_100025.3" "TBL25"
"NM_100028.3" "PIPK11"
"NM_100029.6" "LEA14"
"NM_100030.4" "ACS2"
"NM_179241.1" "ACS2"
"NM_100033.3" "AN"
"NM_001331277.1" "ASG4"
"NM_001331279.1" "ASG4"
"NM_001331278.1" "ASG4"
"NM_100034.2" "ASG4"
"NM_001331280.1" "ASG4"
"NM_100035.3" "AGL28"
"NM_100037.4" "BPS1"
"NM_001035852.3" "BPS1"
"NM_001331281.1" "MPK11"
"NM_001123738.2" "MPK11"
"NM_100038.4" "MPK11"
"NM_001331282.1" "MPK11"
"NM_001331284.1" "FRO2"
"NM_100040.3" "FRO2"
"NM_100041.2" "FRO1"
"NM_100042.4" "CYP86A4"
"NM_100043.5" "GPAT4"
"NM_100044.5" "PIP1C"
"NM_001083972.1" "PIP1C"
"NM_100047.4" "SPPL4"
"NM_001035853.1" "SPPL4"
"NM_001331286.1" "SPPL4"
"NM_001331287.1" "SPPL4"
"NR_138635.1" "MIR2112"
"gnl|WGS:|mrna.AT1G04027-RA" "MIR2112"
"gnl|WGS:|mrna.AT1G04027-RB" "MIR2112"
"NM_100050.4" "PUB54"
"NM_001331292.1" "PRD3"
"NM_001331291.1" "PRD3"
"NM_001331293.1" "PRD3"
"NM_001123739.2" "TRM33"
"NM_100052.2" "ROPGEF2"
"NM_001331294.1" "ROPGEF2"
"NM_001331295.1" "ROPGEF2"
"NM_001331296.1" "ROPGEF2"
"NM_001331297.1" "ROPGEF2"
"NM_100054.3" "ATAF1"
"NM_001331300.1" "BSK4"
"NM_001197957.2" "BSK4"
"NM_001331301.1" "BSK4"
"NM_001331302.1" "BSK4"
"NM_100057.2" "BSK4"
"NM_100058.2" "ADF11"
"NM_001331303.1" "ADF11"
