Generation,Species,Parental_effects_status,Gen_from,Wild_Dom,Population,Accession_num,Seed_origin,Environment,Replicate_num,Label_front,Label_back,Date_sown,Date_germination,Days_germ,Date_transplant,Transplant_from,Batch,RNA_taken,Date_RNA_taken,Day_RNA_taken,Height,Leaf_length,Num_leaves,Date_meas_taken,Days_meas_taken,Sla,Notes,Sldw,Sp_la,Aboveground_dw,Root_dw,Total_la,Total_biomass,Flowering_date,Day_flowering,Date_of_Maturation,Root_to_shoot_ratio
2,Brassica_rapa,standardised,1,Wild,BRP-WP3,PI227296,Iran,control -no competition,1,2.1-BRP-WP3-C-1,2.1.1,20/11/2019,23/11/2019,3,,,1,RNA,09/12/2019,16,18.4,10,8,11/12/2019,18,13.915,,0.024,0.58,,,,,,,,
2,Brassica_rapa,standardised,1,Wild,BRP-WP3,PI227296,Iran,control -no competition,2,2.1-BRP-WP3-C-2,2.1.2,20/11/2019,23/11/2019,3,,,2,RNA,10/12/2019,17,16.1,9.3,,11/12/2019,18,12.163,,0.02,0.608,,,,,01/01/2020,39,,
2,Brassica_rapa,standardised,1,Wild,BRP-WP3,PI227296,Iran,control -no competition,3,2.1-BRP-WP3-C-3,2.1.3,20/11/2019,23/11/2019,3,,,3,N,,,10.3,8,5,12/12/2019,19,8.409,,,,,,,,,,,
2,Brassica_rapa,standardised,1,Wild,BRP-WP3,PI227296,Iran,control -no competition,4,2.1-BRP-WP3-C-4,2.1.4,20/11/2019,23/11/2019,3,,,4,N,,,20,10.3,6,12/12/2019,19,9.648,,0.01,0.965,,,,,,,,
2,Brassica_rapa,standardised,1,Wild,BRP-WP3,PI227296,Iran,control -no competition,5,2.1-BRP-WP3-C-5,2.1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Brassica_rapa,standardised,1,Wild,BRP-WP3,PI227296,Iran,control -no competition,6,2.1-BRP-WP3-C-6,2.1.6,20/11/2019,23/11/2019,3,,,5,N,,,18.3,11.7,4,13/12/2019,20,15.034,,,,,,,,,,,
2,Brassica_rapa,standardised,1,Wild,BRP-WP3,PI227296,Iran,control -no competition,7,2.1-BRP-WP3-C-7,2.1.7,20/11/2019,23/11/2019,3,,,6,N,,,21.1,,,16/12/2019,23,13.039,,,,,0.129,,,,,,
2,Brassica_rapa,standardised,1,Wild,BRP-WP3,PI227296,Iran,control -no competition,8,2.1-BRP-WP3-C-8,2.1.8,20/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,
2,Brassica_rapa,standardised,1,Wild,BRP-WP3,PI227296,Iran,control -no competition,9,2.1-BRP-WP3-C-9,2.1.9,20/11/2019,23/11/2019,3,,,7,N,,,21.7,,,16/12/2019,23,8.365,,,,,0.017,,,,,,
2,Brassica_rapa,standardised,1,Wild,BRP-WP3,PI227296,Iran,control -no competition,10,2.1-BRP-WP3-C-10,2.1.10,20/11/2019,26/11/2019,6,,,11,N,,,,,,19/12/2019,23,,,,,,,,,,,,
