"Label_front","Species","Population","Wild_Dom","Environment","Parental_effects_status","Days_germ","Height_1820","Height_2326","Leaf_length_1820","Leaf_length_2326","Num_leaves_1820","Num_leaves_2326","Sla_1820","Sla_2326","Sldw_1820","Sldw_2326","Aboveground_dw","Root_dw","Root_to_shoot_ratio"
"2.1-BRP-WP3-C-1","Brassica_rapa","BRP-WP3","Wild","control","standardised",3,18.4,NA,10,NA,8,NA,13.915,NA,0.024,NA,NA,NA,NA
"2.1-BRP-WP3-C-2","Brassica_rapa","BRP-WP3","Wild","control","standardised",3,16.1,NA,9.3,NA,NA,NA,12.163,NA,0.02,NA,NA,NA,NA
"2.1-BRP-WP3-C-3","Brassica_rapa","BRP-WP3","Wild","control","standardised",3,10.3,NA,8,NA,5,NA,8.409,NA,NA,NA,NA,NA,NA
"2.1-BRP-WP3-C-4","Brassica_rapa","BRP-WP3","Wild","control","standardised",3,20,NA,10.3,NA,6,NA,9.648,NA,0.01,NA,NA,NA,NA
"2.1-BRP-WP3-C-5","Brassica_rapa","BRP-WP3","Wild","control","standardised",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2.1-BRP-WP3-C-6","Brassica_rapa","BRP-WP3","Wild","control","standardised",3,18.3,NA,11.7,NA,4,NA,15.034,NA,NA,NA,NA,NA,NA
"2.1-BRP-WP3-C-7","Brassica_rapa","BRP-WP3","Wild","control","standardised",3,NA,21.1,NA,NA,NA,NA,NA,13.039,NA,NA,NA,0.129,NA
"2.1-BRP-WP3-C-8","Brassica_rapa","BRP-WP3","Wild","control","standardised",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2.1-BRP-WP3-C-9","Brassica_rapa","BRP-WP3","Wild","control","standardised",3,NA,21.7,NA,NA,NA,NA,NA,8.365,NA,NA,NA,0.017,NA
"2.1-BRP-WP3-C-10","Brassica_rapa","BRP-WP3","Wild","control","standardised",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2.1-BRP-WP3-C-11","Brassica_rapa","BRP-WP3","Wild","control","standardised",3,NA,23.3,NA,10.9,NA,6,NA,15.435,NA,0.015,NA,NA,NA
"2.1-BRP-WP3-C-12","Brassica_rapa","BRP-WP3","Wild","control","standardised",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2.1-BRP-WP3-C-13","Brassica_rapa","BRP-WP3","Wild","control","standardised",3,NA,22.7,NA,10.9,NA,6,NA,13.87,NA,0.007,0.111,0.005,0.045
"2.1-BRP-WP3-C-14","Brassica_rapa","BRP-WP3","Wild","control","standardised",3,NA,15.1,NA,8.5,NA,7,NA,11.755,NA,0.017,0.111,0.009,0.081
"2.1-BRP-WP3-C-15","Brassica_rapa","BRP-WP3","Wild","control","standardised",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
