Number extraction in freezer,RNAseq sample name,Date,Label,Generation,Species,Parental effects status,Generation the seed was obtained from,Wild/ Domesticated,Variety/population,Accession_number,Seed_origin,Environment
1,A1,02/07/2020,2.0-BRP-WP1-C,2,Brassica rapa,"""not standardised""",0,Wild,WP1,GRU08:013914,UK,control -no competition
2,A2,02/07/2020,2.1-BRP-RP2-C,2,Brassica rapa,"'""standardised""",1,European cultivated (groups with wild),ssp. rapa2,PI633181,Honduras,control -no competition
3,A3,02/07/2020,2.0-BMO-WP3-C,2,Brassica montana,"""not standardised""",0,Wild,BMO-WP3,BRA1644,unknown,control -no competition
4,A4,02/07/2020,2.0-RRA-WP1-W,2,Raphanus raphanistrum,"""not standardised""",0,Wild,RRA-WP1,HRIGRU 804,,wheat competition
5,A5,02/07/2020,2.1-RMG-WP2-W,2,Raphanus raphanistrum mungra,"'""standardised""",1,Asian cultivated,RMG-WP2,PI 271456,India,wheat competition
6,A6,02/07/2020,2.0-BCR-WP4-C,2,Brassica cretica,"""not standardised""",0,Wild,BCR-WP4,PI662593,Greece,control -no competition
7,A7,03/07/2020,2.0-BCR-WP3-W,2,Brassica cretica,"""not standardised""",0,Wild,BCR-WP3,PI662588,Greece,wheat competition
10,A10,03/07/2020,2.1-BRP-CH2-W,2,Brassica rapa,"'""standardised""",1,Asian cultivated,ssp. chinensis 2,PI662679,Japan,wheat competition
11,A11,03/07/2020,2.0-BMA-WP1-W,2,Brassica macrocarpa,"""not standardised""",0,Wild,BMA-WP1,HRI08:013115A,,wheat competition
12,A12,03/07/2020,2.0-RSA-CU1-W,2,Raphanus sativus,"""not standardised""",0,Asian cultivated,RSA-CU1 (Turbak),HRIGRU 1035,Afghanistan,wheat competition
13,A13,03/07/2020,2.0-RMN-WP1-C,2,Raphanus raphanistrum munra,"""not standardised"" -parents",0,Asian cultivated,RMN-WP1,HRIGRU 1047,India,control -no competition
14,A14,03/07/2020,2.1-BRP-TR3-W,2,Brassica rapa,"'""standardised""",1,Asian cultivated,ssp.  tricolouris 3,PI649208,"Iowa, US",wheat competition
15,A15,03/07/2020,2.1-RCA-WP6-C,2,Raphanus sativus var. caudatus,"'""standardised""",1,Asian cultivated,RCA-WP6,PI 647068,U.S.,control -no competition
16,A16,03/07/2020,2.0-BMA-WP2-C,2,Brassica macrocarpa,"""not standardised""",0,Wild,BMA-WP2,PI662585,Italy,control -no competition
17,A17,07/07/2020,2.0-BRP-WP8-W,2,Brassica rapa,"""not standardised"" -parents",0,Wild,WP8,Ames30078,USA,wheat competition
18,A18,07/07/2020,2.1-BRP-TR2-C,2,Brassica rapa,"'""standardised""",1,Asian cultivated,ssp.  tricolouris 2,PI649201,"Iowa, US",control -no competition
19,A19,07/07/2020,2.1-BRP-CH3-W,2,Brassica rapa,"'""standardised""",1,Asian cultivated,ssp. chinensis 3,PI662680,Japan,wheat competition
20,A20,07/07/2020,2.1-BRP-WP8-C,2,Brassica rapa,"'""standardised""",1,Wild,WP8,Ames30078,USA,control -no competition
