"sample","species","label","parental.effects","treatment","domesticated"
"A4","Raphanus raphanistrum","2.0-RRA-WP1-W","Unstandardised","Wheat","Wild"
"A5","Raphanus raphanistrum mungra","2.1-RMG-WP2-W","Standardised","Wheat","Cultivated"
"A12","Raphanus sativus","2.0-RSA-CU1-W","Unstandardised","Wheat","Cultivated"
"A13","Raphanus raphanistrum munra","2.0-RMN-WP1-C","Unstandardised","Control","Cultivated"
"A15","Raphanus sativus var. caudatus","2.1-RCA-WP6-C","Standardised","Control","Cultivated"
"A21","Raphanus sativus","2.0-RSA-CU4-W","Unstandardised","Wheat","Cultivated"
"A23","Raphanus raphanistrum","2.1-RRA-WP5-C","Standardised","Control","Wild"
"A24","Raphanus raphanistrum","2.0-RRA-WP2-W","Unstandardised","Wheat","Wild"
"A25","Raphanus raphanistrum","2.1-RRA-WP2-C","Standardised","Control","Wild"
"A28","Raphanus raphanistrum","2.0-RRA-WP4-W","Unstandardised","Wheat","Wild"
"A32","Raphanus sativus var. caudatus","2.1-RCA-WP1-W","Standardised","Wheat","Cultivated"
"A36","Raphanus sativus var. caudatus","2.1-RCA-WP6-W","Standardised","Wheat","Cultivated"
"A39","Raphanus raphanistrum munra","2.1-RMN-WP1-C","Standardised","Control","Cultivated"
"A40","Raphanus sativus var. caudatus","2.0-RCA-WP6-C","Unstandardised","Control","Cultivated"
"A43","Raphanus raphanistrum","2.0-RRA-WP3-W","Unstandardised","Wheat","Wild"
"A45","Raphanus raphanistrum","2.1-RRA-WP2-W","Standardised","Wheat","Wild"
"A47","Raphanus sativus","2.0-RSA-CU3-W","Unstandardised","Wheat","Cultivated"
"A51","Raphanus raphanistrum","2.0-RRA-WP3-C","Unstandardised","Control","Wild"
"A52","Raphanus sativus var. caudatus","2.0-RCA-WP1-C","Unstandardised","Control","Cultivated"
"A54","Raphanus raphanistrum munra","2.0-RMN-WP1-W","Unstandardised","Wheat","Cultivated"
"A55","Raphanus raphanistrum","2.0-RRA-WP1-C","Unstandardised","Control","Wild"
"A57","Raphanus sativus var. caudatus","2.0-RCA-WP1-W","Unstandardised","Wheat","Cultivated"
"A59","Raphanus sativus","2.1-RSA-CU4-C","Standardised","Control","Cultivated"
"A60","Raphanus raphanistrum","2.0-RRA-WP5-W","Unstandardised","Wheat","Wild"
"A61","Raphanus raphanistrum mungra","2.1-RMG-WP2-C","Standardised","Control","Cultivated"
"A62","Raphanus sativus var. caudatus","2.1-RCA-WP2-C","Standardised","Control","Cultivated"
"A63","Raphanus raphanistrum","2.0-RRA-WP4-C","Unstandardised","Control","Wild"
"A66","Raphanus sativus","2.0-RSA-CU4-C","Unstandardised","Control","Cultivated"
"A68","Raphanus sativus var. caudatus","2.0-RCA-WP6-W","Unstandardised","Wheat","Cultivated"
"A74","Raphanus raphanistrum munra","2.0-RMN-WP2-W","Unstandardised","Wheat","Cultivated"
"A80","Raphanus raphanistrum mungra","2.0-RMG-WP1-C","Unstandardised","Control","Cultivated"
"A83","Raphanus sativus","2.0-RSA-CU5-C","Unstandardised","Control","Cultivated"
"A88","Raphanus raphanistrum","2.0-RRA-WP2-C","Unstandardised","Control","Wild"
"A89","Raphanus raphanistrum munra","2.1-RMN-WP1-W","Standardised","Wheat","Cultivated"
"A91","Raphanus raphanistrum","2.0-RRA-WP5-C","Unstandardised","Control","Wild"
"A93","Raphanus raphanistrum mungra","2.0-RMG-WP2-C","Unstandardised","Control","Cultivated"
"A101","Raphanus raphanistrum mungra","2.0-RMG-WP1-W","Unstandardised","Wheat","Cultivated"
"A103","Raphanus sativus var. caudatus","2.0-RCA-WP2-W","Unstandardised","Wheat","Cultivated"
"A104","Raphanus raphanistrum mungra","2.0-RMG-WP2-W","Unstandardised","Wheat","Cultivated"
"A105","Raphanus sativus","2.0-RSA-CU1-C","Unstandardised","Control","Cultivated"
"A109","Raphanus raphanistrum munra","2.0-RMN-WP2-C","Unstandardised","Control","Cultivated"
"A110","Raphanus sativus var. caudatus","2.1-RCA-WP1-C","Standardised","Control","Cultivated"
"A113","Raphanus sativus var. caudatus","2.0-RCA-WP2-C","Unstandardised","Control","Cultivated"
"A115","Raphanus sativus var. caudatus","2.1-RCA-WP2-W","Standardised","Wheat","Cultivated"
"A116","Raphanus sativus","2.0-RSA-CU3-C","Unstandardised","Control","Cultivated"
"A119","Raphanus sativus","2.0-RSA-CU5-W","Unstandardised","Wheat","Cultivated"
"A121","Raphanus raphanistrum","2.1-RRA-WP5-W","Standardised","Wheat","Wild"
"A163","Raphanus sativus","2.1-RSA-CU4-W","Standardised","Wheat","Cultivated"
