group,replicate,fastq_1,fastq_2,strandedness
control,1,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN003pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN003pair_2.fq.gz,unstranded
control,2,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN016pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN016pair_2.fq.gz,unstranded
control,3,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN033pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN033pair_2.fq.gz,unstranded
control,4,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN046pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN046pair_2.fq.gz,unstranded
control,5,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN064pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN064pair_2.fq.gz,unstranded
control,6,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN077pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN077pair_2.fq.gz,unstranded
control,7,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN092pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN092pair_2.fq.gz,unstranded
control,8,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN112pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN112pair_2.fq.gz,unstranded
control,9,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN126pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN126pair_2.fq.gz,unstranded
control,10,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN150pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN150pair_2.fq.gz,unstranded
