group,replicate,fastq_1,fastq_2,strandedness
control,1,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A101pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A101pair_2.fq.gz,unstranded
control,2,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A103pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A103pair_2.fq.gz,unstranded
control,3,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A104pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A104pair_2.fq.gz,unstranded
control,4,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A105pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A105pair_2.fq.gz,unstranded
control,5,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A109pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A109pair_2.fq.gz,unstranded
control,6,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A110pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A110pair_2.fq.gz,unstranded
control,7,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A113pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A113pair_2.fq.gz,unstranded
control,8,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A115pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A115pair_2.fq.gz,unstranded
control,9,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A116pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A116pair_2.fq.gz,unstranded
control,10,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A119pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A119pair_2.fq.gz,unstranded
control,11,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A121pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A121pair_2.fq.gz,unstranded
