XM_018625787.1	gene-LOC108852278
XR_001949830.1	gene-LOC108854109
XM_018627619.1	gene-LOC108854109
XM_018632499.1	gene-LOC108858590
XR_001949990.1	gene-LOC108855125
XM_018614681.1	gene-LOC108841894
XM_018580415.1	gene-LOC108808236
XM_018615123.1	gene-LOC108842259
XM_018580421.1	gene-LOC108808244
XM_018580426.1	gene-LOC108808250
XR_001949536.1	gene-LOC108852558
XR_001949535.1	gene-LOC108852558
XR_001950301.1	gene-LOC108857100
XR_001950302.1	gene-LOC108857100
XM_018584564.1	gene-LOC108812323
XM_018584586.1	gene-LOC108812343
XM_018584574.1	gene-LOC108812332
XR_001943910.1	gene-LOC108816633
XR_001943915.1	gene-LOC108816633
XR_001943904.1	gene-LOC108816633
XM_018589231.1	gene-LOC108816633
Parent=gene-LOC108842285	gene-LOC108842285
XM_018615166.1	gene-LOC108842296
XM_018612902.1	gene-LOC108840077
XM_018612890.1	gene-LOC108840068
XR_001946830.1	gene-LOC108834348
XM_018607633.1	gene-LOC108834259
XM_018587378.1	gene-LOC108814752
XM_018624485.1	gene-LOC108851054
XM_018578199.1	gene-LOC108806157
XM_018578175.1	gene-LOC108806138
XM_018578187.1	gene-LOC108806148
XM_018614061.1	gene-LOC108841285
XM_018583637.1	gene-LOC108811571
Parent=gene-LOC108842303	gene-LOC108842303
XM_018583643.1	gene-LOC108811578
XM_018583539.1	gene-LOC108811489
XM_018583528.1	gene-LOC108811478
XM_018583551.1	gene-LOC108811498
XM_018583557.1	gene-LOC108811498
XR_001947678.1	gene-LOC108839526
XM_018612274.1	gene-LOC108839517
XR_001950397.1	gene-LOC108857976
XR_001950398.1	gene-LOC108857976
XM_018584030.1	gene-LOC108811887
TRNAV-UAC	gene-TRNAV-UAC
XM_018625659.1	gene-LOC108852150
XM_018632222.1	gene-LOC108858267
XM_018632241.1	gene-LOC108858267
XM_018632226.1	gene-LOC108858267
XM_018632234.1	gene-LOC108858267
XM_018632230.1	gene-LOC108858267
XM_018632247.1	gene-LOC108858294
XM_018632207.1	gene-LOC108858248
XM_018632214.1	gene-LOC108858248
XM_018632201.1	gene-LOC108858248
XM_018632195.1	gene-LOC108858239
XM_018632256.1	gene-LOC108858302
XM_018579356.1	gene-LOC108807102
XM_018579376.1	gene-LOC108807122
XM_018579329.1	gene-LOC108807082
XM_018579346.1	gene-LOC108807082
XM_018579337.1	gene-LOC108807082
XM_018579385.1	gene-LOC108807129
XM_018579368.1	gene-LOC108807111
XM_018609656.1	gene-LOC108836470
XM_018631156.1	gene-LOC108857200
XM_018626811.1	gene-LOC108853392
XM_018580882.1	gene-LOC108808775
XM_018580886.1	gene-LOC108808775
XM_018580876.1	gene-LOC108808775
XM_018580862.1	gene-LOC108808756
XM_018580869.1	gene-LOC108808764
XM_018586301.1	gene-LOC108813669
XM_018586290.1	gene-LOC108813660
XM_018623799.1	gene-LOC108850201
XM_018619168.1	gene-LOC108845934
XM_018579548.1	gene-LOC108807252
XM_018615184.1	gene-LOC108842312
Parent=gene-LOC108842322	gene-LOC108842322
XM_018630426.1	gene-LOC108856584
XM_018583122.1	gene-LOC108811043
XM_018583116.1	gene-LOC108811043
XM_018583127.1	gene-LOC108811043
XM_018583109.1	gene-LOC108811043
XM_018584944.1	gene-LOC108812627
XM_018614669.1	gene-LOC108841885
XM_018580636.1	gene-LOC108808501
XM_018580642.1	gene-LOC108808509
XR_001949258.1	gene-LOC108850277
XM_018620948.1	gene-LOC108847621
XM_018636871.1	gene-LOC108862661
XM_018632044.1	gene-LOC108858057
XM_018633591.1	gene-LOC108859680
XM_018627010.1	gene-LOC108853597
XR_001950293.1	gene-LOC108857030
XM_018624790.1	gene-LOC108851368
XM_018615208.1	gene-LOC108842329
XM_018632097.1	gene-LOC108858121
XM_018633580.1	gene-LOC108859669
XM_018626945.1	gene-LOC108853529
XR_001950283.1	gene-LOC108857015
XM_018585385.1	gene-LOC108812974
XM_018585374.1	gene-LOC108812958
XM_018585366.1	gene-LOC108812958
XM_018577497.1	gene-LOC108805568
XM_018577506.1	gene-LOC108805582
XM_018582310.1	gene-LOC108810178
XM_018627078.1	gene-LOC108853661
XM_018585660.1	gene-LOC108813180
Parent=gene-LOC108857735	gene-LOC108857735
XM_018614982.1	gene-LOC108842152
XM_018626465.1	gene-LOC108852997
XM_018615218.1	gene-LOC108842340
XM_018635354.1	gene-LOC108861479
XM_018631363.1	gene-LOC108857348
XM_018631251.1	gene-LOC108857255
XM_018634926.1	gene-LOC108861096
XM_018634915.1	gene-LOC108861086
XM_018634935.1	gene-LOC108861106
XM_018634947.1	gene-LOC108861116
XM_018634971.1	gene-LOC108861127
XM_018634956.1	gene-LOC108861127
XM_018634963.1	gene-LOC108861127
XM_018634977.1	gene-LOC108861127
XM_018577103.1	gene-LOC108805131
XM_018577092.1	gene-LOC108805120
XM_018624899.1	gene-LOC108851455
XM_018624891.1	gene-LOC108851455
XM_018613673.1	gene-LOC108840858
XM_018615229.1	gene-LOC108842350
XM_018629874.1	gene-LOC108856040
XM_018636720.1	gene-LOC108862555
XM_018615242.1	gene-LOC108842358
XM_018615252.1	gene-LOC108842365
XM_018636709.1	gene-LOC108862546
XM_018636800.1	gene-LOC108862610
XM_018636699.1	gene-LOC108862536
XM_018636756.1	gene-LOC108862580
XM_018636769.1	gene-LOC108862589
XM_018636777.1	gene-LOC108862589
XM_018636733.1	gene-LOC108862563
XM_018636744.1	gene-LOC108862569
XM_018636789.1	gene-LOC108862600
XM_018626895.1	gene-LOC108853480
XM_018626886.1	gene-LOC108853462
XM_018626879.1	gene-LOC108853462
XM_018615266.1	gene-LOC108842370
XM_018599607.1	gene-LOC108825905
XM_018614436.1	gene-LOC108841673
XM_018614446.1	gene-LOC108841684
XM_018625347.1	gene-LOC108851869
XR_001949325.1	gene-LOC108851505
Parent=gene-LOC108862209	gene-LOC108862209
XM_018636191.1	gene-LOC108862052
XM_018636113.1	gene-LOC108862052
XM_018586523.1	gene-LOC108813847
XM_018612137.1	gene-LOC108839361
XM_018615032.1	gene-LOC108842191
XM_018627089.1	gene-LOC108853669
XM_018627096.1	gene-LOC108853669
XM_018603529.1	gene-LOC108829642
XM_018613482.1	gene-LOC108840652
XM_018579512.1	gene-LOC108806945
XM_018614418.1	gene-LOC108841654
XM_018608037.1	gene-LOC108834683
XM_018612849.1	gene-LOC108840033
XM_018614271.1	gene-LOC108841508
XM_018614281.1	gene-LOC108841518
XM_018587618.1	gene-LOC108814959
XM_018587627.1	gene-LOC108814970
XM_018587637.1	gene-LOC108814980
