XM_009121514.3	gene-LOC103844700
XM_009121512.3	gene-LOC103844699
XM_009121511.3	gene-LOC103844698
XM_009121509.3	gene-LOC103844697
XM_009121508.2	gene-LOC103844695
XM_033282523.1	gene-LOC103844693
XM_009121503.3	gene-LOC103844693
XM_033282526.1	gene-LOC103844694
XM_033282527.1	gene-LOC103844694
XM_033282528.1	gene-LOC103844694
XM_033282529.1	gene-LOC103844694
XM_033282524.1	gene-LOC117129137
XM_009121502.3	gene-LOC103844692
XM_033282525.1	gene-LOC117129139
XM_033282521.1	gene-LOC103844691
XM_033282522.1	gene-LOC103844691
XM_033282262.1	gene-LOC117129000
XM_009121501.3	gene-LOC103844690
XM_009121500.3	gene-LOC103844689
XM_033281831.1	gene-LOC103844688
XM_009121498.3	gene-LOC103844687
XM_033281832.1	gene-LOC103844685
XM_033282127.1	gene-LOC103844684
XM_009121490.3	gene-LOC103844682
XM_009121491.3	gene-LOC103844682
XM_033282117.1	gene-LOC103844682
XM_033282118.1	gene-LOC103844682
XM_009121489.3	gene-LOC103844682
XM_033282116.1	gene-LOC103844682
XM_009121494.2	gene-LOC103844683
XM_009121492.3	gene-LOC103844683
XM_033282263.1	gene-LOC103844680
XM_033282115.1	gene-LOC103844679
XM_009121488.3	gene-LOC103844678
XM_033282114.1	gene-LOC103844678
XM_009121482.3	gene-LOC103844675
XM_033282122.1	gene-LOC103844675
XM_033282123.1	gene-LOC103844675
XM_009121483.2	gene-LOC103844676
XM_018655639.2	gene-LOC103844677
XM_018655638.2	gene-LOC103844677
XM_009121484.3	gene-LOC103844677
XM_009121481.3	gene-LOC103844674
XM_009121480.3	gene-LOC103844673
XM_009121479.3	gene-LOC103844672
XM_009121478.3	gene-LOC103844672
XM_009121477.3	gene-LOC103844671
XM_009121473.3	gene-LOC103844671
XM_009121471.3	gene-LOC103844670
XM_009121469.3	gene-LOC103844669
XM_009121470.3	gene-LOC103844669
XM_033282120.1	gene-LOC103844669
XM_033282121.1	gene-LOC103844669
XM_009121468.3	gene-LOC103844668
XM_018655680.2	gene-LOC103844667
XM_009121467.3	gene-LOC103844667
XM_033282126.1	gene-LOC103844665
XM_033282124.1	gene-LOC103844665
XM_009121465.3	gene-LOC103844665
XM_033282125.1	gene-LOC103844665
XM_009121466.3	gene-LOC103844666
XM_009121464.3	gene-LOC103844664
XM_009121463.3	gene-LOC103844663
XM_033282128.1	gene-LOC117128977
XM_009121462.3	gene-LOC103844662
XM_009121461.3	gene-LOC103844661
XM_009121460.3	gene-LOC103844660
XM_009121458.3	gene-LOC103844659
XM_009121456.3	gene-LOC103844658
XM_033281615.1	gene-LOC103844658
XM_033281614.1	gene-LOC103844658
XM_033281613.1	gene-LOC103844658
XM_033282046.1	gene-LOC103844654
XM_009121455.3	gene-LOC103844655
XM_009121453.3	gene-LOC103844653
XM_009121452.2	gene-LOC103844652
XM_009121450.3	gene-LOC103844651
XM_033282148.1	gene-LOC103844650
XM_009121446.3	gene-LOC103844649
XM_009121444.3	gene-LOC103844648
XM_018655289.2	gene-LOC103844648
XM_009121445.3	gene-LOC103844648
XM_018655201.2	gene-LOC103844646
XM_009121442.3	gene-LOC103844645
XM_009121441.3	gene-LOC103844644
XM_009121439.2	gene-LOC103844643
XM_009121440.3	gene-LOC103844643
XM_033282149.1	gene-LOC103844641
XM_009121438.3	gene-LOC103844642
XM_009121436.3	gene-LOC103844639
XM_009121435.3	gene-LOC103844638
XM_009121434.3	gene-LOC103844637
XM_033282150.1	gene-LOC103844632
XM_009121431.3	gene-LOC103844632
XM_009121433.3	gene-LOC103844635
XM_009121432.3	gene-LOC103844633
XM_009121430.3	gene-LOC103844631
XM_009121429.3	gene-LOC103844630
XM_009121426.3	gene-LOC103844628
XM_033282225.1	gene-LOC103844628
XM_009121428.3	gene-LOC103844629
XM_009121425.2	gene-LOC103844627
XM_018655744.2	gene-LOC108870241
XM_018655743.2	gene-LOC108870241
XM_018655741.2	gene-LOC108870241
XM_009121424.3	gene-LOC103844626
XM_009121423.3	gene-LOC103844624
XM_009121422.3	gene-LOC103844623
XM_009121421.3	gene-LOC103844622
XM_009121419.3	gene-LOC103844620
XM_009121420.3	gene-LOC103844621
XM_033282230.1	gene-LOC103844619
XM_009121543.1	gene-LOC103844731
XM_009121417.3	gene-LOC103844617
XM_033282228.1	gene-LOC103844616
XM_033282229.1	gene-LOC103844616
XM_009121415.3	gene-LOC103844615
XM_033282226.1	gene-LOC103844613
XM_033282227.1	gene-LOC103844613
XM_009121413.3	gene-LOC103844612
XM_009121412.3	gene-LOC103844611
XM_009121411.3	gene-LOC103844610
XM_009121410.3	gene-LOC103844610
XM_018655354.2	gene-LOC108870122
XM_033282520.1	gene-LOC103844730
XM_033282517.1	gene-LOC103844609
XM_033282516.1	gene-LOC103844609
XM_033282518.1	gene-LOC103844609
XM_033282519.1	gene-LOC103844608
XM_033281714.1	gene-LOC108870108
XM_033281713.1	gene-LOC108870108
XM_033281711.1	gene-LOC108870108
XM_033281707.1	gene-LOC108870108
XM_033281710.1	gene-LOC108870108
XM_033281709.1	gene-LOC108870108
XM_033281706.1	gene-LOC108870108
XM_033281708.1	gene-LOC108870108
XM_033281705.1	gene-LOC108870108
