NP_001288811.1 NP_186887.1
NP_001288813.1 NP_182090.1
NP_001288814.1 NP_173261.1
NP_001288826.1 NP_566140.1
NP_001288830.1 NP_176773.1
NP_001288833.1 NP_179469.1
NP_001288835.1 NP_193436.2
NP_001288836.1 NP_198217.1
NP_001288838.1 NP_849323.1
NP_001288839.1 NP_001189727.1
NP_001288840.1 NP_566129.1
NP_001288841.1 NP_176582.2
NP_001288843.1 NP_001321561.1
NP_001288847.1 NP_191199.1
NP_001288848.1 NP_199430.1
NP_001288852.1 NP_181300.1
NP_001288853.1 NP_175086.1
NP_001288854.1 NP_566025.2
NP_001288857.1 NP_850506.1
NP_001288860.1 NP_001320955.1
NP_001288861.1 NP_180607.1
NP_001288862.1 NP_001325162.1
NP_001288863.1 NP_193291.1
NP_001288865.1 NP_172802.2
NP_001288867.1 NP_199763.1
NP_001288869.1 NP_850460.1
NP_001288870.1 NP_001332570.1
NP_001288871.1 NP_001319362.1
NP_001288874.1 NP_001077694.1
NP_001288876.1 NP_196252.1
NP_001288880.1 NP_001329208.1
NP_001288882.1 NP_564976.1
NP_001288886.1 NP_001327154.1
NP_001288887.1 NP_174327.1
NP_001288892.1 NP_173269.1
NP_001288893.1 NP_567958.1
NP_001288895.1 NP_176198.1
NP_001288899.1 NP_180461.1
NP_001288900.1 NP_189147.1
NP_001288901.1 NP_177837.1
NP_001288902.1 NP_973983.1
NP_001288903.1 NP_200946.1
NP_001288909.1 NP_194374.1
NP_001288910.1 NP_178433.1
NP_001288912.1 NP_192081.1
NP_001288913.1 NP_175587.1
NP_001288916.1 NP_179913.1
NP_001288917.1 NP_181938.1
NP_001288919.1 NP_189308.1
NP_001288920.1 NP_181409.1
NP_001288922.1 NP_196327.1
NP_001288923.1 NP_001078372.1
NP_001288924.1 NP_178199.1
NP_001288928.1 NP_201329.1
NP_001288930.1 NP_001319672.1
NP_001288931.1 NP_001324165.1
NP_001288932.1 NP_197622.1
NP_001288933.1 NP_181434.1
NP_001288934.1 NP_172598.1
NP_001288936.1 NP_194086.4
NP_001288938.1 NP_179668.1
NP_001288939.1 NP_187124.1
NP_001288941.1 NP_181439.1
NP_001288942.1 NP_191109.1
NP_001288944.1 NP_177708.1
NP_001288947.1 NP_194112.1
NP_001288948.1 NP_176982.1
NP_001288949.1 NP_176426.1
NP_001288950.1 NP_001117399.1
NP_001288952.1 NP_195534.1
NP_001288953.1 NP_566991.2
NP_001288955.1 NP_564792.1
NP_001288957.1 NP_001030927.1
NP_001288958.1 NP_200438.1
NP_001288959.1 NP_182248.1
NP_001288960.1 NP_196947.2
NP_001288961.1 NP_181500.1
NP_001288962.1 NP_192034.1
NP_001288964.1 NP_001190314.1
NP_001288965.1 NP_193616.2
NP_001288966.1 NP_179196.1
NP_001288967.1 NP_201403.2
NP_001288969.1 NP_567882.1
NP_001288971.1 NP_173417.2
NP_001288977.1 NP_193860.1
NP_001288981.1 NP_200477.1
NP_001288982.1 NP_567878.2
NP_001288983.1 NP_178263.1
NP_001288985.1 NP_567962.1
NP_001288987.1 NP_193551.1
NP_001288989.1 NP_568439.1
NP_001288991.1 NP_196576.1
NP_001288992.1 NP_564860.3
NP_001288993.1 NP_850019.1
NP_001288994.1 NP_001030978.1
NP_001288996.1 NP_200993.1
NP_001288999.1 NP_001319806.1
NP_001289001.1 NP_001318276.1
NP_001289002.1 NP_172717.1
NP_001289049.1 NP_195585.1
NP_001289050.1 NP_190727.1
NP_001303995.1 NP_001318984.1
NP_001304174.1 NP_001117556.1
NP_001306245.1 NP_174222.2
NP_001306247.1 NP_001325056.1
XP_009101231.1 NP_195276.3
XP_009101241.1 NP_178381.3
XP_009101242.1 NP_178377.2
XP_009101246.1 NP_565288.1
XP_009101247.1 NP_849928.1
XP_009101252.2 NP_001324706.1
XP_009101259.1 NP_178346.2
XP_009101260.1 NP_190544.1
XP_009101261.1 NP_178344.1
XP_009101262.2 NP_001077870.1
XP_009101263.2 NP_178341.1
XP_009101264.1 NP_178332.2
XP_009101268.1 NP_001077869.1
XP_009101269.1 NP_001318179.1
XP_009101271.1 NP_178322.1
XP_009101273.1 NP_178319.1
XP_009101277.1 NP_172911.1
XP_009101282.1 NP_565280.1
XP_009101283.1 NP_178313.1
XP_009101284.1 NP_178304.1
XP_009101287.2 NP_001030946.1
XP_009101289.1 NP_178300.3
XP_009101297.1 NP_178298.2
XP_009101302.2 NP_178295.2
XP_009101303.1 NP_178294.1
XP_009101304.2 NP_849925.1
XP_009101305.2 NP_001324427.1
XP_009101309.1 NP_849924.1
XP_009101310.1 NP_001189497.1
XP_009101312.1 NP_178284.1
XP_009101313.1 NP_001323453.1
XP_009101316.1 NP_178290.1
XP_009101318.2 NP_178291.1
XP_009101323.1 NP_565274.1
XP_009101324.1 NP_565273.1
XP_009101325.1 NP_565272.1
XP_009101328.1 NP_001318177.1
XP_009101330.2 NP_172943.1
XP_009101332.1 NP_178267.1
XP_009101350.1 NP_001030939.1
XP_009101351.1 NP_178253.3
XP_009101352.1 NP_178248.2
XP_009101359.2 NP_178234.1
XP_009101360.1 NP_849920.1
XP_009101361.1 NP_001318172.1
XP_009101363.2 NP_565256.1
XP_009101365.3 NP_565254.1
XP_009101366.1 NP_001318169.1
XP_009101367.1 NP_178222.4
XP_009101368.1 NP_178223.2
XP_009101374.1 NP_178217.3
XP_009101380.1 NP_171836.3
XP_009101383.1 NP_199592.1
XP_009101385.1 NP_199590.1
XP_009101388.1 NP_199586.1
XP_009101389.1 NP_001078729.1
XP_009101393.1 NP_001322649.1
XP_009101400.1 NP_568686.1
XP_009101401.1 NP_001330287.1
XP_009101403.1 NP_199570.1
XP_009101404.1 NP_199571.2
XP_009101415.2 NP_001331127.1
XP_009101416.1 NP_199561.1
XP_009101417.1 NP_190548.1
XP_009101418.1 NP_001318753.1
XP_009101420.1 NP_001031653.1
