XP_018432515.1 NP_201156.1
XP_018432516.1 NP_201155.1
XP_018432517.1 NP_172700.1
XP_018432519.1 NP_187609.2
XP_018432521.1 NP_566365.1
XP_018432522.1 NP_179484.1
XP_018432523.1 NP_187209.1
XP_018432524.1 NP_001078112.1
XP_018432525.1 NP_189881.1
XP_018432528.1 NP_001329957.1
XP_018432531.1 NP_191792.1
XP_018432533.1 NP_199646.1
XP_018432534.1 NP_566607.1
XP_018432536.1 NP_187599.1
XP_018432540.1 NP_191206.1
XP_018432542.1 NP_001030873.1
XP_018432545.1 NP_187479.1
XP_018432547.1 NP_191644.1
XP_018432548.1 NP_001326907.1
XP_018432553.1 NP_191055.1
XP_018432556.1 NP_191094.1
XP_018432557.1 NP_175778.1
XP_018432559.1 NP_001189868.1
XP_018432560.1 NP_566417.3
XP_018432561.1 NP_001325653.1
XP_018432563.1 NP_173025.1
XP_018432565.1 NP_563660.1
XP_018432566.1 NP_001332320.1
XP_018432569.1 NP_001154629.1
XP_018432570.1 NP_188678.1
XP_018432573.1 NP_849583.1
XP_018432575.1 NP_174164.2
XP_018432576.1 NP_178651.1
XP_018432580.1 NP_683557.1
XP_018432581.1 NP_683362.1
XP_018432582.1 NP_191779.1
XP_018432584.1 NP_565360.1
XP_018432585.1 NP_001324165.1
XP_018432588.1 NP_175587.1
XP_018432589.1 NP_566457.1
XP_018432590.1 NP_201383.1
XP_018432591.1 NP_569020.1
XP_018432592.1 NP_001319097.1
XP_018432593.1 NP_566603.1
XP_018432594.1 NP_171612.1
XP_018432596.1 NP_188453.1
XP_018432597.1 NP_173899.1
XP_018432598.1 NP_187709.5
XP_018432601.1 NP_001319471.1
XP_018432604.1 NP_566633.1
XP_018432605.1 NP_001322481.1
XP_018432606.1 NP_001325301.1
XP_018432609.1 NP_191716.2
XP_018432610.1 NP_001327020.1
XP_018432611.1 NP_566263.1
XP_018432617.1 NP_188104.2
XP_018432620.1 NP_189023.1
XP_018432623.1 NP_187651.1
XP_018432625.1 NP_564608.1
XP_018432628.1 NP_175660.2
XP_018432629.1 NP_174587.1
XP_018432630.1 NP_187098.2
XP_018432638.1 NP_172167.2
XP_018432639.1 NP_188718.1
XP_018432641.1 NP_201061.1
XP_018432643.1 NP_201271.1
XP_018432644.1 NP_564417.1
XP_018432645.1 NP_188804.1
XP_018432647.1 NP_565336.1
XP_018432648.1 NP_001078128.1
XP_018432649.1 NP_195916.1
XP_018432650.1 NP_189087.1
XP_018432651.1 NP_172370.3
XP_018432652.1 NP_566356.1
XP_018432653.1 NP_189997.1
XP_018432654.1 NP_566470.1
XP_018432655.1 NP_173226.2
XP_018432656.1 NP_564404.1
XP_018432657.1 NP_188308.1
XP_018432658.1 NP_187914.1
XP_018432659.1 NP_201331.1
XP_018432660.1 NP_567216.1
XP_018432661.1 NP_201069.1
XP_018432664.1 NP_172168.1
XP_018432665.1 NP_172170.1
XP_018432666.1 NP_173377.1
XP_018432669.1 NP_566392.1
XP_018432670.1 NP_001077501.1
XP_018432671.1 NP_191064.1
XP_018432673.1 NP_001320247.1
XP_018432675.1 NP_186761.1
XP_018432677.1 NP_565313.1
XP_018432681.1 NP_565844.1
XP_018432683.1 NP_173229.1
XP_018432693.1 NP_567003.2
XP_018432694.1 NP_001325950.1
XP_018432696.1 NP_187643.1
XP_018432697.1 NP_001185025.1
XP_018432699.1 NP_850745.1
XP_018432700.1 NP_179349.2
XP_018432701.1 NP_195766.1
XP_018432702.1 NP_001327768.1
XP_018432705.1 NP_188409.1
XP_018432707.1 NP_201070.1
XP_018432708.1 NP_564040.1
XP_018432709.1 NP_566530.1
XP_018432710.1 NP_193190.1
XP_018432713.1 NP_186815.1
XP_018432716.1 NP_563875.6
XP_018432719.1 NP_001327113.1
XP_018432724.1 NP_191190.2
XP_018432725.1 NP_172327.1
XP_018432726.1 NP_567110.1
XP_018432727.1 NP_191649.1
XP_018432730.1 NP_563902.1
XP_018432732.1 NP_001030616.1
XP_018432733.1 NP_173230.1
XP_018432737.1 NP_187150.1
XP_018432740.1 NP_187151.1
XP_018432741.1 NP_179236.3
XP_018432743.1 NP_001078165.1
XP_018432744.1 NP_564539.1
XP_018432745.1 NP_171773.1
XP_018432749.1 NP_187021.2
XP_018432752.1 NP_001327286.1
XP_018432753.1 NP_188394.2
XP_018432754.1 NP_001078172.2
XP_018432757.1 NP_171769.1
XP_018432760.1 NP_566993.1
XP_018432761.1 NP_187490.2
XP_018432762.1 NP_187489.1
XP_018432764.1 NP_566724.1
XP_018432765.1 NP_171620.2
XP_018432768.1 NP_566867.1
XP_018432771.1 NP_563661.1
XP_018432772.1 NP_201299.2
XP_018432773.1 NP_188360.3
XP_018432774.1 NP_569003.1
XP_018432775.1 NP_187664.2
XP_018432782.1 NP_001321524.1
XP_018432784.1 NP_172531.2
XP_018432791.1 NP_564282.1
XP_018432792.1 NP_188272.1
XP_018432793.1 NP_190019.1
XP_018432794.1 NP_172467.1
XP_018432798.1 NP_175166.2
XP_018432799.1 NP_201009.1
XP_018432801.1 NP_001190143.1
XP_018432807.1 NP_173390.1
XP_018432808.1 NP_201147.2
XP_018432809.1 NP_568947.1
XP_018432811.1 NP_180214.1
XP_018432813.1 NP_001031124.1
XP_018432814.1 NP_001332102.1
XP_018432817.1 NP_186975.1
XP_018432818.1 NP_188108.1
XP_018432819.1 NP_173385.1
XP_018432825.1 NP_201220.1
XP_018432829.1 NP_188552.3
XP_018432830.1 NP_001319212.1
XP_018432835.1 NP_190239.1
XP_018432836.1 NP_201307.1
XP_018432837.1 NP_201308.1
XP_018432839.1 NP_566410.1
XP_018432840.1 NP_200988.1
XP_018432841.1 NP_568940.1
XP_018432842.1 NP_566275.1
XP_018432844.1 NP_186912.1
XP_018432845.1 NP_850506.1
XP_018432848.1 NP_566970.1
XP_018432849.1 NP_173675.1
XP_018432853.1 NP_189011.2
XP_018432854.1 NP_567076.1
XP_018432858.1 NP_191316.5
XP_018432861.1 NP_001322482.1
XP_018432862.1 NP_001324639.1
XP_018432863.1 NP_201263.2
XP_018432864.1 NP_201131.1
XP_018432865.1 NP_201132.1
XP_018432872.1 NP_567050.1
XP_018432873.1 NP_179353.1
XP_018432874.1 NP_565421.1
XP_018432875.1 NP_179357.1
XP_018432876.1 NP_173844.2
XP_018432879.1 NP_188636.2
XP_018432880.1 NP_001319823.1
XP_018432883.1 NP_566685.1
XP_018432884.1 NP_974242.1
XP_018432887.1 NP_189147.1
XP_018432889.1 NP_180598.1
XP_018432890.1 NP_001118567.1
XP_018432892.1 NP_187053.2
XP_018432893.1 NP_187052.4
XP_018432896.1 NP_191572.1
XP_018432897.1 NP_001030899.1
XP_018432898.1 NP_001323286.1
XP_018432906.1 NP_001330163.1
XP_018432909.1 NP_200932.2
XP_018432911.1 NP_189109.1
XP_018432912.1 NP_175983.5
XP_018432913.1 NP_001327300.1
XP_018432914.1 NP_175827.1
XP_018432917.1 NP_564530.1
XP_018432919.1 NP_001322686.1
XP_018432923.1 NP_190990.1
XP_018432925.1 NP_001319516.1
XP_018432927.1 NP_187169.1
XP_018432928.1 NP_187168.1
XP_018432929.1 NP_188427.2
XP_018432930.1 NP_974282.1
XP_018432931.1 NP_175984.1
XP_018432933.1 NP_200914.2
XP_018432935.1 NP_201077.2
XP_018432936.1 NP_001320963.1
XP_018432940.1 NP_178631.1
XP_018432941.1 NP_191096.1
XP_018432944.1 NP_850554.1
XP_018432947.1 NP_563621.1
XP_018432949.1 NP_191885.1
XP_018432953.1 NP_001319676.1
XP_018432958.1 NP_174177.1
XP_018432959.1 NP_187308.3
XP_018432960.1 NP_187310.1
XP_018432965.1 NP_174474.1
XP_018432966.1 NP_196125.1
XP_018432968.1 NP_566045.1
XP_018432971.1 NP_198372.1
XP_018432973.1 NP_175439.2
XP_018432974.1 NP_001189903.1
XP_018432977.1 NP_001030704.1
XP_018432979.1 NP_175537.1
XP_018432982.1 NP_565390.1
XP_018432983.1 NP_179262.1
XP_018432984.1 NP_175706.1
XP_018432985.1 NP_001318205.1
XP_018432986.1 NP_178661.2
XP_018432997.1 NP_172558.4
XP_018432998.1 NP_001322758.1
XP_018432999.1 NP_001321495.1
XP_018433001.1 NP_175220.2
XP_018433002.1 NP_198121.1
XP_018433004.1 NP_001189751.1
XP_018433005.1 NP_001325090.1
XP_018433006.1 NP_181429.2
XP_018433008.1 NP_171638.2
XP_018433009.1 NP_850137.1
XP_018433010.1 NP_565687.1
XP_018433011.1 NP_001319541.1
XP_018433012.1 NP_187970.1
XP_018433016.1 NP_179960.1
XP_018433018.1 NP_175847.1
XP_018433019.1 NP_175359.2
XP_018433020.1 NP_180738.1
XP_018433021.1 NP_201451.1
XP_018433022.1 NP_569036.1
XP_018433024.1 NP_174696.2
XP_018433025.1 NP_186769.1
XP_018433026.1 NP_186768.1
XP_018433028.1 NP_186771.1
XP_018433029.1 NP_565684.1
XP_018433032.1 NP_190246.1
XP_018433034.1 NP_564237.2
XP_018433035.1 NP_189300.1
XP_018433036.1 NP_179571.1
XP_018433037.1 NP_190046.2
XP_018433039.1 NP_188962.2
XP_018433040.1 NP_188961.2
XP_018433041.1 NP_190126.1
XP_018433042.1 NP_190458.1
XP_018433043.1 NP_565952.1
XP_018433044.1 NP_564238.2
XP_018433046.1 NP_565972.1
XP_018433048.1 NP_001332438.1
XP_018433050.1 NP_200923.2
XP_018433052.1 NP_563921.1
XP_018433054.1 NP_001030722.1
XP_018433055.1 NP_566616.1
XP_018433056.1 NP_001322477.1
XP_018433057.1 NP_181612.1
XP_018433061.1 NP_187623.2
XP_018433062.1 NP_187627.3
XP_018433064.1 NP_001319515.1
XP_018433065.1 NP_849967.1
XP_018433066.1 NP_173828.1
XP_018433067.1 NP_172955.1
XP_018433073.1 NP_564748.1
XP_018433077.1 NP_198099.1
XP_018433080.1 NP_001031116.1
XP_018433081.1 NP_199405.2
XP_018433082.1 NP_199406.1
XP_018433083.1 NP_188010.1
XP_018433084.1 NP_172454.1
XP_018433090.1 NP_181395.1
XP_018433096.1 NP_566354.1
XP_018433098.1 NP_172719.1
XP_018433099.1 NP_564145.1
XP_018433100.1 NP_001319034.1
XP_018433107.1 NP_172506.1
XP_018433111.1 NP_199585.2
XP_018433112.1 NP_564786.1
XP_018433116.1 NP_179145.1
XP_018433117.1 NP_189036.1
XP_018433118.1 NP_173855.5
XP_018433119.1 NP_001326497.1
XP_018433120.1 NP_190012.1
XP_018433125.1 NP_001318283.1
XP_018433127.1 NP_181216.1
XP_018433129.1 NP_175914.1
XP_018433130.1 NP_190634.1
XP_018433132.1 NP_850141.1
XP_018433133.1 NP_181969.2
XP_018433135.1 NP_001323974.1
XP_018433136.1 NP_001077749.1
XP_018433140.1 NP_563975.2
XP_018433141.1 NP_173818.1
XP_018433142.1 NP_564255.1
XP_018433143.1 NP_564254.1
XP_018433145.1 NP_001327607.1
XP_018433146.1 NP_564678.1
XP_018433149.1 NP_001325329.1
XP_018433150.1 NP_179393.1
XP_018433152.1 NP_179387.1
XP_018433154.1 NP_850276.1
XP_018433155.1 NP_176262.2
XP_018433156.1 NP_187616.1
XP_018433159.1 NP_176352.1
XP_018433160.1 NP_568652.1
XP_018433165.1 NP_201246.1
XP_018433166.1 NP_190474.1
XP_018433167.1 NP_181011.2
XP_018433172.1 NP_568640.1
XP_018433173.1 NP_001190472.1
XP_018433175.1 NP_001327332.1
XP_018433177.1 NP_172728.1
XP_018433181.1 NP_849983.1
XP_018433184.1 NP_181818.1
XP_018433193.1 NP_001077832.1
XP_018433197.1 NP_190721.3
XP_018433198.1 NP_177451.1
XP_018433199.1 NP_001318232.1
XP_018433204.1 NP_566103.1
XP_018433206.1 NP_182276.1
XP_018433208.1 NP_001189621.1
XP_018433212.1 NP_188589.1
XP_018433214.1 NP_189281.2
XP_018433216.1 NP_001319647.1
XP_018433217.1 NP_001189892.1
XP_018433220.1 NP_566837.1
XP_018433223.1 NP_188267.1
XP_018433227.1 NP_178603.1
XP_018433228.1 NP_001321537.1
XP_018433233.1 NP_201258.2
XP_018433236.1 NP_001318729.1
XP_018433239.1 NP_001318339.1
XP_018433242.1 NP_173257.2
XP_018433243.1 NP_850393.1
XP_018433246.1 NP_001323758.1
XP_018433254.1 NP_568930.1
XP_018433255.1 NP_173256.2
XP_018433256.1 NP_001324838.1
XP_018433261.1 NP_001320322.1
XP_018433263.1 NP_182186.1
XP_018433264.1 NP_001318888.1
XP_018433269.1 NP_179247.1
XP_018433275.1 NP_190445.2
XP_018433276.1 NP_565056.1
XP_018433278.1 NP_850355.1
XP_018433279.1 NP_565957.1
XP_018433280.1 NP_190662.2
XP_018433281.1 NP_199707.2
XP_018433284.1 NP_201473.1
XP_018433286.1 NP_173521.2
XP_018433288.1 NP_201471.1
XP_018433290.1 NP_973773.1
XP_018433292.1 NP_565696.1
XP_018433293.1 NP_178409.2
XP_018433295.1 NP_001324395.1
XP_018433296.1 NP_001117446.1
XP_018433297.1 NP_181274.1
XP_018433300.1 NP_001323060.1
XP_018433301.1 NP_198566.2
XP_018433309.1 NP_850356.1
XP_018433313.1 NP_001154344.1
XP_018433315.1 NP_563985.1
XP_018433316.1 NP_175244.1
XP_018433322.1 NP_173671.1
XP_018433324.1 NP_190740.1
XP_018433328.1 NP_182301.1
XP_018433329.1 NP_179708.2
XP_018433330.1 NP_568775.1
XP_018433334.1 NP_001320929.1
XP_018433337.1 NP_188801.2
XP_018433338.1 NP_190775.1
XP_018433340.1 NP_187018.1
XP_018433342.1 NP_566501.1
XP_018433344.1 NP_190693.1
XP_018433346.1 NP_001322872.1
XP_018433351.1 NP_172802.2
XP_018433355.1 NP_001031037.1
XP_018433359.1 NP_179461.1
XP_018433360.1 NP_001031001.2
XP_018433361.1 NP_850466.2
XP_018433364.1 NP_001324483.1
XP_018433365.1 NP_566328.1
XP_018433366.1 NP_565381.1
XP_018433373.1 NP_566458.1
XP_018433378.1 NP_001324433.1
XP_018433381.1 NP_190692.1
XP_018433382.1 NP_179408.1
