AAPT1 LOC108807389
AAPT3 LOC108805934
ACA3 LOC108822756
ACT1 LOC108862827
AOX LOC108862190
APG1 LOC108808287
APK LOC108847875
ARF10 LOC108812986
ARF11 LOC108810269
ARF16-2 LOC108848742
ARF17-2 LOC108828367
ARF18-1 LOC108862774
ARF19-1 LOC108821779
ARF19-2 LOC108807600
ARF2-1 LOC108812119
ARF2-2 LOC108861796
ARF2-3 LOC108827497
ARF27 LOC108824984
ARF3-1 LOC108813687
ARF3-2 LOC108855120
ARF5-1 LOC108813399
ARF5-3 LOC108811526
ARF7-1 LOC108817132
ARF8-1 LOC108817855
ARF8-2 LOC108854797
ARF9-1 LOC108841678
ARF9-2 LOC108853662
ARP1 LOC108848331
AUX1 LOC108812920
AVP1-1 LOC108822185
AVP1-2 LOC108828450
BCAT4-2 LOC108857098
BCH LOC108849036
BCPI-2 LOC108813126
BR42 LOC108809227
BRAB-1 LOC108808902
CAX1 LOC108828066
CCA1 LOC108813185
CENH3 LOC108859294
CKX LOC108816044
COPZ1 LOC108861351
CRY1 LOC108828289
CTR1 LOC108817327
CYS1-2 LOC108842475
CYS7 LOC108845950
DCL2 LOC108861906
DHHC1 LOC108805098
DRM1 LOC108814843
EGL3 LOC108824151
EPR1 LOC108839453
ESM LOC108862832
ETR1 LOC108817715
EXL6 LOC108840636
EXPA10 LOC108855578
EXPA11 LOC108811725
EXPA12 LOC108861369
EXPA14 LOC108828791
EXPA16 LOC108857582
EXPA17 LOC108844471
EXPA18 LOC108841376
EXPA20 LOC108842806
EXPA3 LOC108807194
EXPA4 LOC108839208
EXPA5 LOC108849319
EXPA6 LOC108854503
EXPA7 LOC108821745
EXPA8 LOC108845803
EXPB1 LOC108806856
EXPB2 LOC108838005
EXPB3 LOC108848763
EXPB5 LOC108829260
EXPLB1 LOC108840642
EXPLB2 LOC108841568
FCA LOC108839397
FLC1 LOC108817845
FMO LOC108821009
FMOGS-OX1 LOC108825620
FSD1 LOC108843599
GATA1 LOC108827939
GDH LOC108830302
GLDH LOC108812165
GME LOC108855455
GR1 LOC108805298
GRF5 LOC108860992
GST1 LOC108827153
HD1 LOC108812820
HY5 LOC108817580
JMJ30 LOC108856700
LCB1 LOC108829321
LCB2 LOC108863459
LOC103249142 LOC108810293
LOC103249144 LOC108826375
LOC103249145 LOC108821203
LOC103249148 LOC108829908
LOC103249149 LOC108828655
LOC103249150 LOC108812345
LOC103249152 LOC108860162
LOC103249155 LOC108844182
LOC103249156 LOC108805930
LOC103249158 LOC108813849
LOC103249159 LOC108832520
LOC103249160 LOC108832646
LOC103249161 LOC108846345
LOC103249162 LOC108857403
LOC103249163 LOC108807184
LOC103249165 LOC108858691
LOC103249166 LOC108806054
LOC103249168 LOC108812584
LOC103249169 LOC108811942
LOC103249170 LOC108853854
LOC103249171 LOC108840141
LOC103827501 LOC108842805
LOC103827503 LOC108849134
LOC103827507 LOC108854237
LOC103827508 LOC108854232
LOC103827509 LOC108854236
LOC103827510 LOC108854235
LOC103827511 LOC108854234
LOC103827512 LOC108855717
LOC103827514 LOC108848302
LOC103827515 LOC108854800
LOC103827516 LOC108854425
LOC103827517 LOC108849339
LOC103827518 LOC108807355
LOC103827519 LOC108849434
LOC103827520 LOC108854378
LOC103827521 LOC108854380
LOC103827522 LOC108854375
LOC103827523 LOC108849205
LOC103827524 LOC108851643
LOC103827526 LOC108849536
LOC103827527 LOC108851583
LOC103827529 LOC108849633
LOC103827532 LOC108855194
LOC103827533 LOC108849702
LOC103827534 LOC108852218
LOC103827535 LOC108849165
LOC103827536 LOC108855579
LOC103827537 LOC108854776
LOC103827538 LOC108852241
LOC103827540 LOC108830436
LOC103827541 LOC108830441
